Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
30-05-2000,242916.8353,274287.2568,187200.7687,253963.2679,576077.3658,229360.2375,227729.8836,703674.9112,63419.86846,86211.49292
31-05-2000,240584.8337,271105.5246,188342.6933,257925.0949,564959.0726,229383.1736,234038.0014,702337.9288,63927.22741,86858.07912
01-06-2000,240849.477,272759.2683,189792.9321,256454.9219,594732.4157,233810.2688,236027.3244,703672.3709,64234.0781,88864.50074
02-06-2000,240367.7781,271886.4386,191785.7579,247581.5816,628989.0029,239842.5738,241597.5693,688050.8443,63450.42234,92063.62277
05-06-2000,238709.2404,276644.4513,189484.3288,245922.785,631064.6666,240706.007,238239.3631,690114.9968,61737.26094,90507.74755
06-06-2000,239496.9809,272411.7912,188764.2883,253841.4987,619263.7573,240802.2894,232140.4354,699500.5608,63052.2646,89240.63908
07-06-2000,244334.8199,272466.2736,188311.254,251734.6142,634126.0875,243812.318,233045.7831,699710.4109,62907.24439,90338.29894
08-06-2000,244212.6525,270368.2833,185919.7011,251155.6246,633301.7236,242398.2066,230668.7161,696841.5982,62919.82584,89073.56276
09-06-2000,243064.853,270773.8357,184748.407,249397.5352,634948.3081,244070.7542,225801.6062,705900.539,63718.90763,88396.60368
12-06-2000,242408.5779,271504.925,185117.9038,254061.2691,618249.1676,242069.374,221737.1773,697994.453,64171.31187,88325.8864
13-06-2000,243814.5477,270989.0657,186210.0994,254874.2652,630675.9758,246232.9673,226814.9586,719702.0805,64434.41425,88917.66983
14-06-2000,245253.0535,267059.7242,186805.9718,256352.5359,619702.2138,245814.3712,228175.8484,729561.999,63564.54966,89860.19713
15-06-2000,249544.9819,260516.761,188617.9897,254327.3509,630918.8239,246281.4185,229430.8156,735690.3198,64371.81944,88314.60174
16-06-2000,246101.2612,255098.0124,186788.3952,260049.7163,631423.559,243843.2325,225668.1502,739221.6333,64159.39243,85779.97267
19-06-2000,245633.6688,254893.934,185947.8474,256955.1247,654786.2307,248915.1717,225826.1179,750901.3351,63601.20572,87049.51627
20-06-2000,243668.5994,248801.9689,183530.5254,254591.1375,657994.6832,247571.0298,224787.3177,742265.9697,63493.08367,86683.9083
21-06-2000,242620.8245,249349.3333,182007.222,259835.715,664772.0284,248016.6577,223168.8491,754884.4912,63664.515,85739.0537
22-06-2000,242669.3486,246232.4666,179295.3144,253677.6085,643831.7095,247098.996,220446.1891,734729.0753,62887.80791,85078.86299
23-06-2000,242426.6793,248719.4145,180335.2272,255250.4097,628894.8139,241934.627,221394.1077,735463.8044,63082.76012,84772.57908
